"longname","name","sentencename","slug","regionslug","lowincome","P20pop","PercentinP20","MaximumIncomeConsumptionNP20","NationalP20Average","NationalRestAverage","GapBetweenNP20Rest2013","minimumincome","growinggap","stuntingtrends","birthregtrends","birthregtrends1","gap_1999","gap_2013","Year","nationalstunting","nationalP20stunting","restP20stunting","NP20Reg","restreg","SecondaryCompletion","nateducYear","p20educYear","secondarycompletionP20","secondarycompletionrest"
"Burkina Faso","Burkina Faso","Burkina Faso","burkina-faso","Africa",TRUE,11107534.35,65.0705,1.36,1.07971556,3.12681905520548,2.04710349520548,1,"increasing","decreasing",,"",1.71329536472603,2.04710349520548,2016,27.3,,,62,82,8.48834991455078,2014,2010,0.92125,8.3705175
"Burundi","Burundi","Burundi","burundi","Africa",TRUE,8007196.8,83.4083,0.82,0.61599302,2.0529414710274,1.4369484510274,0.52,"increasing","about.the.same",,"",1.19871110034247,1.4369484510274,2016,55.9,69.1,52.3,64,78.5,5.92902994155884,2014,2010,3.42273,12.668725
"Cambodia","Cambodia","Cambodia","cambodia","Asia",TRUE,,,,,,,,,,,,,,2014,32.4,41.8,29.5,59,78.25,15.5047702789307,2009,2014,17.05182,44.99493
"Cameroon","Cameroon","Cameroon","cameroon","Africa",TRUE,8209529.88,37.9018,1.62,1.14511158,5.83585909130137,4.69074751130137,0.87,"increasing","decreasing","increased","increasing",3.40315664486301,4.69074751130137,2014,31.7,41.6,28.6,38,76.5,36.228099822998,2010,2014,11.47316,45.4618225
"Canada","Canada","Canada","canada","NA",FALSE,238030.7388,0.676993,28.375,18.9048011875,66.9914709360017,48.0866697485017,14.75,"increasing","",,"",36.9999038206336,48.0866697485017,,,,,,,,,,,
"Cape Verde","Cape Verde","Cape Verde","cape-verde","Africa",TRUE,79745.64,15.3357,2.86,2.07004083,9.87925691578767,7.80921608578767,1.7,"increasing","",,"",6.19759550556507,7.80921608578767,,,,,,,29.3516597747803,2015,,,
"Central African Republic","CAR","CAR","car","Africa",TRUE,3878122.5,86.1805,0.42,0.27830355,2.01786931797945,1.73956576797945,0.21,"increasing","",,"",1.92734037482877,1.73956576797945,,,,,46,66.5,,,2006,1.2539,11.05214
"Chad","Chad","Chad","chad","Africa",TRUE,6460984.14,49.2078,1.27,0.844574765,4.13187000738014,3.28729524238014,0.63,"increasing","increasing","increased","increasing",1.45042718219178,3.28729524238014,2015,39.8,41.2,39.4,6,14.75,,,2014,4.81034,14.05999
"Chile","Chile","Chile","chile","LAC",FALSE,270947.772,1.55182,7.38,5.14222533,24.0789505168151,18.9367251868151,4.11,"increasing","decreasing",,"",15.3043924943493,18.9367251868151,2014,1.8,,,,,76.1649398803711,2013,2013,91.89,96.86
"China","China","China","china","Asia",TRUE,81500352.912,6.00424,3.97,2.91324158,11.0948539885616,8.1816124085616,2.07,"increasing","decreasing",,"",2.5312061260274,8.1816124085616,2013,8.1,,,,,65.3229217529297,2010,,,
"China, Hong Kong Special Administrative Region","Hong Kong","Hong Kong","hong-kong","Asia",FALSE,,,,,,,,,,,,,,,,,,,,78.4135131835938,2015,,,
"China, Macao Special Administrative Region","Macao","Macao","macao","Asia",FALSE,,,,,,,,,,,,,,,,,,,,68.5089111328125,2011,,,
"Colombia","Colombia","Colombia","colombia","LAC",TRUE,4533216.858,9.57587,3.94,2.46426118,17.0150990885616,14.5508379085616,1.76,"increasing","","increased","increasing",9.3780418741438,14.5508379085616,,,,,,,50.3342514038086,2015,2015,50.84103,82.22052
"Comoros","Comoros","Comoros","comoros","Africa",TRUE,209499.18,28.3107,2.06,1.33407145,7.18267391832192,5.84860246832192,0.98,"decreasing","",,"",7.58333174828767,5.84860246832192,2012,31.1,38.7,28.4,85,88.5,,,2012,19.99083,49.6593375
"Costa Rica","Costa Rica","Costa Rica","costa-rica","LAC",TRUE,128014.032,2.71792,7.22,4.68466812,27.3418603672603,22.6571922472603,3.54,"increasing","","decreased","decreasing",12.5833671739726,22.6571922472603,,,,,,,53.0643005371094,2015,2014,50.86,73.8
"Côte d’Ivoire","Côte d’Ivoire","Côte d’Ivoire","cote-d-ivoire","Africa",TRUE,10659712.18,48.5194,1.45,0.998540325,4.30292656258562,3.30438623758562,0.79,"decreasing","decreasing","increased","increasing",3.41876762876712,3.30438623758562,2016,21.6,,,44,73.25,21.1199398040771,2014,2012,1.73256,25.8450675
"Croatia","Croatia","Croatia","croatia","Europe",TRUE,72038.73,1.69105,8.75,6.00439,19.7399298972603,13.7355398972603,4.61,"increasing","",,"",11.022392035274,13.7355398972603,,,,,,,89.2185592651367,2011,,,
"Cuba","Cuba","Cuba","cuba","LAC",TRUE,,,,,,,,,,,,,,,,,,,,81.1480712890625,2012,2014,,
"Cyprus","Cyprus","Cyprus","cyprus","Asia",FALSE,0,0,22.75,17.520878375,52.724985885702,35.204107510702,15.25,"increasing","",,"",25.5137649400685,35.204107510702,,,,,,,78.6391830444336,2015,,,
