"CountryName","P20pop","Percent.in.P20","Maximum.Income.Consumption.NP20","National.P20.Average","National.Rest.Average","Gap.Between.NP20.Rest.2013","minimum.income","growinggap","stuntingtrends","birthregtrends","birthregtrends"
"Greece",187874.414,1.71262,9.98,6.35303846,25.2847129877397,18.9316745277397,4.48,"increasing",,,
"Guatemala",2628147.6,16.8471,2.81,1.88302034,10.550340805411,8.667320465411,1.46,"increasing","decreasing","decreasing","decreasing"
"Guinea-Bissau",1301786.64,77.4873,0.77,0.51807448,2.75620603753425,2.23813155753425,0.41,"decreasing","decreasing","decreasing","decreasing"
"Guinea",6294619.94,54.5461,1.48,1.10190514,3.37085933143836,2.26895419143836,0.92,"increasing","decreasing","increasing","increasing"
"Guyana",87898.56,11.5656,3.66,2.27837745,12.0495563224315,9.7711788724315,1.57,"increasing","decreasing","decreasing","decreasing"
"Haiti",3739520.05,35.8535,1.74,1.21370046,5.17387625486301,3.96017579486301,0.98,"increasing","decreasing","about.the.same","about.the.same"
"Honduras",2193517.38,25.3293,2.09,1.281591135,9.63775290118151,8.35616176618151,0.88,"increasing","decreasing","about.the.same","about.the.same"
"Hungary",24133.3802,0.244018,10.5,7.319487,22.4146898938356,15.0952028938356,5.64,"increasing",,,
"Iceland",0,0,29.75,23.45498925,53.6020061121575,30.1470168621575,20.75,"increasing",,,
"Indonesia",65173193.79,25.8593,2.32,1.87963384,6.13999564958904,4.26036180958904,1.66,"increasing","increasing","increasing","increasing"
"Iran (Islamic Republic of)",328513.6448,0.424217,7.63,5.636315335,19.3296745909075,13.6933592559075,4.66,"increasing",,,
"Iraq",2449798.428,7.23081,3.41,2.66592777,6.90909339996575,4.24316562996575,2.31,"increasing",,,
"Ireland",34086.46,0.74101,22,15.687485,49.5631972431507,33.8757122431507,13.75,"increasing",,,
"Israel",54077.764,0.67094,12,7.831464,39.3282983835616,31.4968343835616,5.75,"increasing",,,
"Italy",1049429.451,1.74237,19.5,12.324975,46.3480713184932,34.0230963184932,8.29,"increasing",,,
"Jamaica",139742.91,4.90326,4.23,3.0522411,13.6886794510274,10.6364383510274,2.52,"increasing","increasing","increasing","increasing"
"Japan",443441.883,0.347934,22.75,15.6009035,49.0464864537671,33.4455829537671,12,"increasing",,,
"Jordan",89853.281,1.06841,5.29,4.15866473,11.6419091599658,7.4832444299658,3.69,"increasing","decreasing",,
"Kazakhstan",12290.40672,0.0721268,7.26,5.96215521,13.7026118824315,7.7404566724315,5.38,"increasing","decreasing","about.the.same","about.the.same"
"Kenya",21959213.39,48.9833,1.4,0.9560096,4.86157294246575,3.90556334246575,0.74,"decreasing","decreasing","increasing","increasing"
"Kiribati",26745.73,24.3143,2.29,1.613482475,5.71457458672945,4.10109211172945,1.32,"decreasing",,,
"Republic of Korea",170957.7,0.339,21.25,14.334814375,45.6684881870719,31.3336738120719,11,"increasing",,,
"Kosovo",19479.642,1.07031,5.25,4.107539625,9.56977262799657,5.46223300299657,3.6,"increasing",,,
"Kyrgyzstan",691090.4,12.082,2.91,2.34716817,5.72327645065068,3.37610828065068,2.09,"decreasing","decreasing","about.the.same","about.the.same"
"Lao People's Democratic Republic",2477992.33,38.1817,1.9,1.47507735,4.50992929263699,3.03485194263699,1.26,"increasing",,"about.the.same","about.the.same"
"Latvia",35152.89,1.7489,9.93,6.405391185,23.0601727516952,16.6547815666952,4.66,"increasing",,,
"Lebanon",3227.65344,0.0611298,11.5,8.4142165,24.6727609434931,16.2585444434931,6.93,"increasing",,,
"Lesotho",1428771.88,67.3949,0.66,0.39265512,3.36250060356164,2.96984548356164,0.27,"increasing","decreasing","increasing","increasing"
"Liberia",2594489.04,60.4776,1.35,1.005332175,3.09873818912671,2.09340601412671,0.91,"increasing","decreasing","increasing","increasing"
"Lithuania",44284.56,1.4961,10.25,6.956864625,24.1208660355308,17.1640014105308,5.45,"increasing",,,
"Luxembourg",723.897,0.134055,36,26.989974,81.6789448561644,54.6889708561644,23,"increasing",,,
"The former Yugoslav Republic of Macedonia",188496.256,9.06232,4.24,2.56305456,11.5364007435616,8.9733461835616,1.6,"increasing",,,
"Madagascar",19802403.04,86.2474,0.63,0.43964298,1.80987144678082,1.37022846678082,0.35,"decreasing",,"increasing","increasing"
"Malawi",13587160.78,81.9491,0.72,0.52792632,2.25547595424658,1.72754963424658,0.44,"decreasing","decreasing","increasing","increasing"
"Malaysia",113966.9658,0.383598,8.39,5.788911225,30.3262653444349,24.5373541194349,4.59,"increasing","increasing",,
"Maldives",44729.1,11.469,3.25,2.375338875,8.73448034974315,6.35914147474315,2.02,"increasing",,,
"Mali",11483824.32,69.6834,1.17,0.913116555,2.63462497083904,1.72150841583904,0.8,"increasing","increasing","increasing","increasing"
"Malta",0,0,23,17.216236,45.5851190821918,28.3688830821918,14.5,"increasing",,,
"Mauritania",613095.3,15.5214,2.81,2.05881956,6.46054168534247,4.40172212534247,1.71,"increasing","decreasing","increasing","increasing"
"Mauritius",17910.9,1.4215,5.87,4.421727185,13.7920750530651,9.3703478680651,3.74,"increasing",,,
"Mexico",9508381.014,7.75941,3.79,2.67536858,11.9503496358219,9.2749810558219,2.08,"decreasing","decreasing","increasing","increasing"
"Micronesia (Federated States of)",27944.1,27.9441,2.15,1.384134525,5.90650061532534,4.52236609032534,1,"decreasing",,,
"Republic of Moldova",16095.8636,0.452131,5.52,4.38503004,10.8964274215068,6.5113973815068,3.91,"decreasing","decreasing",,
"Mongolia",33905.032,1.18136,5.38,4.09647457,12.015484097226,7.919009527226,3.49,"increasing","decreasing","about.the.same","about.the.same"
"Montenegro",11994.334,1.93457,7.05,5.280072825,15.940584533476,10.660511708476,4.79,"increasing","increasing","about.the.same","about.the.same"
"Morocco",1516996.1,4.4855,4.22,3.1355866,11.2050485554795,8.0694619554795,2.64,"increasing",,,
"Mozambique",20074034.31,75.9517,0.78,0.53993472,2.92376289534247,2.38382817534247,0.43,"increasing",,,
"Myanmar",11982653.55,23.2899,2.42,1.82421173,5.76154980722603,3.93733807722603,1.56,"increasing","decreasing","increasing","increasing"
"Namibia",729326.8,31.4365,2,1.421946,10.5071847328767,9.0852387328767,1.14,"increasing","decreasing","increasing","increasing"
"Nepal",6981909.57,24.9443,2.35,1.882679,5.18597408561644,3.30329508561644,1.64,"increasing","decreasing","increasing","increasing"
"Netherlands",0,0,28.95,21.554997525,55.1311136324486,33.5761161074486,18,"increasing",,,
"Nicaragua",496754.79,8.34882,3.68,2.59197672,11.8903619843836,9.2983852643836,1.95,"increasing","decreasing",,
"Niger",12179668.23,66.0861,1.3,1.0222537,2.89081191746575,1.86855821746575,0.98,"increasing","decreasing","increasing","increasing"
"Nigeria",111571968.28,64.9316,1.02,0.71856042,3.16404482650685,2.44548440650685,0.57,"increasing","decreasing","decreasing","decreasing"
"Norway",12505.0804,0.246163,43,32.1749865,78.3932396763699,46.2182531763699,27.45,"increasing",,,
"Pakistan",43410337.29,23.8899,2.41,1.973771925,4.84836523792808,2.87459331292808,1.8,"increasing","increasing","increasing","increasing"
"Panama",212027.904,5.52156,5.84,3.57480708,25.8419694628767,22.2671623828767,2.44,"increasing",,,
"Papua New Guinea",3795743.82,50.0098,1.29,0.850587945,3.98028452059931,3.12969657559931,0.65,"increasing",,,
"Paraguay",268366.542,4.14786,5.46,3.67830099,19.9184658483904,16.2401648583904,2.79,"increasing","decreasing","increasing","increasing"
"Peru",2349732.48,7.6864,4.54,2.88111124,15.2721057516438,12.3909945116438,2.05,"increasing","decreasing","about.the.same","about.the.same"
"Philippines",23795328.48,24.1626,2.35,1.798643,6.71314746917808,4.91450446917808,1.54,"increasing","decreasing",,
"Poland",13193.67948,0.0346837,8.58,6.55826457,19.0022420766781,12.4439775066781,5.6,"increasing",,,
