CountryName,national.stunting,nationalP20stunting,restP20stunting
Niger,42.2,,
Bangladesh,36.2,49.3,32.3
Chile,1.8,,
Cote d'Ivoire,21.6,,
Dominican Republic,7.1,11.6,5.7
Ecuador,23.9,,
Pakistan,45,61.1,40.4
Sao Tome and Principe,17.2,25.5,14.8
Senegal,17.1,25.6,14.3
Tonga,8.1,,
Algeria,11.7,12.6,11.4
Burundi,55.9,69.1,52.3
China,8.1,,
Congo,21.2,,
Guatemala,46.7,66.4,39.6
Honduras,22.6,42,16.1
Kenya,26.2,36,23.1
Mali,30.4,40.5,27.9
Morocco,14.9,,
Philippines,33.4,,
Sri Lanka,17.3,,
Thailand,10.5,,
Trinidad and Tobago,11,,
Uruguay,10.7,,
Egypt,22.3,24.8,21.7
El Salvador,13.6,23.6,10.4
Ghana,18.8,24.8,17
Mauritania,27.9,,
Mexico,12.4,22.9,9.1
Seychelles,7.9,,
Togo,27.6,33.4,25.9
Tunisia,10.1,15.6,8.8
Uganda,28.9,32.3,28
Viet Nam,24.6,,
Zimbabwe,27.1,33.1,25.2
Bolivia (Plurinational State of),16.1,,
Djibouti,33.5,,
India,37.9,50.7,33.6
Jamaica,6.2,,
Sierra Leone,37.8,42.4,36.4
Solomon Islands,31.6,36.6,30.1
Haiti,22,31.2,19
Jordan,7.8,14,5.9
Nigeria,43.6,62.8,38
Paraguay,5.6,12.3,3.4
Cameroon,31.7,41.6,28.6
Iraq,22.1,24.4,21.3
Myanmar,29.4,38.3,25.7
Oman,14.1,,
Peru,13.1,,
United Republic of Tanzania,34.5,39.9,32.7
United States of America,2.1,,
Yemen,46.4,58.9,42.8
Comoros,31.1,38.7,28.4
Ethiopia,38.4,44.6,36.6
Lesotho,33.4,45.6,30.2
Malawi,37.4,45.7,34.8
Mongolia,10.8,18.6,8.6
Namibia,22.7,30.8,20
Rwanda,36.7,,
Zambia,40,47.2,37.7
Burkina Faso,27.3,,
Lao People's Democratic Republic,44.2,60.6,37.4
Nicaragua,17.3,,
Turkey,9.5,,
Guinea,32.4,,
South Africa,27.4,,
Democratic Republic of the Congo,42.7,49.4,40.7
Indonesia,36.4,,
Iran (Islamic Republic of),6.8,,
Kazakhstan,8,10.3,7.4
Mozambique,42.9,51.4,40.4
Nepal,36,48.4,32.8
Angola,37.6,47.4,34.6
Azerbaijan,18,,
Benin,34,46.4,30.7
Cambodia,32.4,41.8,29.5
Gambia,24.6,29.5,23.2
Kuwait,4.9,,
Occupied Palestinian Territory,7.4,7.3,7.4
Vanuatu,28.5,,
Afghanistan,40.9,,
Chad,39.8,41.2,39.4
Equatorial Guinea,26.2,,
Guyana,11.3,20.4,7.5
Kyrgyzstan,12.9,17.7,11.6
Armenia,9.4,12,8.7
Democratic People's Republic of Korea,27.9,,
Malaysia,20.7,,
Samoa,4.9,6.3,4.5
Tajikistan,26.8,31.7,25.6
The former Yugoslav Republic of Macedonia,4.9,7.2,4.3
Bosnia and Herzegovina,8.9,10.1,8.6
Gabon,17,30.7,13.1
Guinea-Bissau,27.6,30.7,26.7
Liberia,32.1,35.5,31
Swaziland,25.5,30.3,24.1
Turkmenistan,11.5,15.5,10.3
Timor-Leste,50.2,,
Montenegro,9.4,4.7,10.4
Republic of Moldova,6.4,11.4,5.3
Serbia,6,13.6,4.5
Belize,15,,
Sudan,38.2,44,36.9
Barbados,7.7,7.5,7.8
Saint Lucia,2.5,5.2,1.8
